model,condition,lag_after_first_error,at_risk,recovery_events,censored,recovery_hazard,survival_unrecovered,cumulative_recovery
claude-sonnet-5,TrajectoryOnly,1,595,180,0,0.302521,0.697479,0.302521
claude-sonnet-5,TrajectoryOnly,2,415,11,0,0.026506,0.678992,0.321008
claude-sonnet-5,TrajectoryOnly,3,404,14,23,0.034653,0.655462,0.344538
claude-sonnet-5,TrajectoryOnly,4,367,43,121,0.117166,0.578664,0.421336
claude-sonnet-5,TrajectoryOnly,5,203,37,101,0.182266,0.473193,0.526807
claude-sonnet-5,TrajectoryOnly,6,65,15,46,0.230769,0.363995,0.636005
claude-sonnet-5,TrajectoryOnly,7,4,3,1,0.75,0.090999,0.909001
claude-sonnet-5,YokedRandom,0,481,0,2,0.0,1.0,0.0
claude-sonnet-5,YokedRandom,1,479,158,0,0.329854,0.670146,0.329854
claude-sonnet-5,YokedRandom,2,321,67,1,0.208723,0.530271,0.469729
